     step,          time,         volume,      temperature,    pressure,      kinetic,       potential,      energy,       density
           62,  0.309990E+02,  0.869737E+04,  0.303485E+03, -0.129754E+04,  0.837316E+03, -0.288989E+04, -0.205257E+04,  0.106284E+01
           63,  0.314990E+02,  0.879304E+04,  0.288199E+03, -0.139772E+04,  0.795143E+03, -0.290624E+04, -0.211110E+04,  0.105128E+01
           64,  0.319990E+02,  0.882147E+04,  0.300763E+03, -0.504698E+03,  0.829806E+03, -0.297211E+04, -0.214231E+04,  0.104789E+01
           65,  0.324990E+02,  0.902588E+04,  0.298318E+03, -0.630930E+03,  0.823061E+03, -0.297172E+04, -0.214866E+04,  0.102416E+01
           66,  0.329990E+02,  0.893268E+04,  0.301687E+03,  0.239288E+04,  0.832356E+03, -0.294945E+04, -0.211709E+04,  0.103484E+01
           67,  0.334990E+02,  0.896246E+04,  0.310744E+03,  0.411420E+04,  0.857343E+03, -0.293574E+04, -0.207840E+04,  0.103141E+01
           68,  0.339990E+02,  0.879974E+04,  0.304034E+03,  0.463914E+04,  0.838832E+03, -0.289874E+04, -0.205991E+04,  0.105048E+01
           69,  0.344990E+02,  0.875065E+04,  0.292737E+03,  0.498094E+04,  0.807664E+03, -0.288569E+04, -0.207803E+04,  0.105637E+01
           70,  0.349990E+02,  0.897886E+04,  0.299953E+03, -0.175560E+04,  0.827572E+03, -0.292714E+04, -0.209957E+04,  0.102952E+01
           71,  0.354990E+02,  0.879369E+04,  0.294983E+03, -0.164938E+04,  0.813859E+03, -0.293264E+04, -0.211878E+04,  0.105120E+01
           72,  0.359990E+02,  0.867860E+04,  0.295325E+03, -0.206107E+04,  0.814803E+03, -0.295545E+04, -0.214065E+04,  0.106514E+01
           73,  0.364990E+02,  0.894199E+04,  0.295239E+03, -0.115103E+04,  0.814567E+03, -0.295131E+04, -0.213674E+04,  0.103377E+01
           74,  0.369990E+02,  0.897582E+04,  0.297933E+03, -0.194846E+03,  0.821999E+03, -0.292375E+04, -0.210175E+04,  0.102987E+01
           75,  0.374990E+02,  0.897013E+04,  0.313315E+03,  0.142712E+04,  0.864438E+03, -0.293387E+04, -0.206943E+04,  0.103052E+01
           76,  0.379990E+02,  0.911480E+04,  0.313503E+03, -0.693866E+03,  0.864956E+03, -0.293458E+04, -0.206962E+04,  0.101417E+01
           77,  0.384990E+02,  0.912645E+04,  0.291870E+03, -0.350672E+03,  0.805272E+03, -0.289029E+04, -0.208502E+04,  0.101287E+01
           78,  0.389990E+02,  0.882054E+04,  0.307356E+03,  0.131181E+04,  0.847997E+03, -0.295768E+04, -0.210969E+04,  0.104800E+01
           79,  0.394990E+02,  0.877960E+04,  0.293835E+03,  0.128801E+04,  0.810694E+03, -0.293972E+04, -0.212902E+04,  0.105289E+01
           80,  0.399990E+02,  0.880248E+04,  0.300003E+03, -0.468033E+03,  0.827711E+03, -0.294931E+04, -0.212160E+04,  0.105015E+01
           81,  0.404990E+02,  0.870039E+04,  0.288081E+03, -0.538413E+03,  0.794817E+03, -0.289441E+04, -0.209959E+04,  0.106247E+01
           82,  0.409990E+02,  0.888888E+04,  0.307597E+03,  0.296794E+04,  0.848661E+03, -0.292515E+04, -0.207649E+04,  0.103994E+01
           83,  0.414990E+02,  0.885998E+04,  0.309597E+03,  0.516667E+03,  0.854180E+03, -0.291875E+04, -0.206457E+04,  0.104334E+01
           84,  0.419990E+02,  0.887189E+04,  0.309822E+03,  0.126615E+04,  0.854802E+03, -0.293487E+04, -0.208007E+04,  0.104194E+01
           85,  0.424990E+02,  0.874220E+04,  0.295025E+03, -0.523518E+03,  0.813975E+03, -0.292171E+04, -0.210773E+04,  0.105739E+01
           86,  0.429990E+02,  0.896362E+04,  0.289499E+03,  0.103688E+03,  0.798730E+03, -0.293650E+04, -0.213777E+04,  0.103127E+01
           87,  0.434990E+02,  0.872011E+04,  0.291696E+03,  0.757318E+03,  0.804790E+03, -0.292881E+04, -0.212402E+04,  0.106007E+01
           88,  0.439990E+02,  0.872323E+04,  0.300882E+03,  0.160309E+04,  0.830134E+03, -0.291141E+04, -0.208128E+04,  0.105969E+01
           89,  0.444990E+02,  0.896597E+04,  0.301828E+03, -0.364501E+04,  0.832745E+03, -0.288919E+04, -0.205644E+04,  0.103100E+01
           90,  0.449990E+02,  0.885970E+04,  0.306265E+03, -0.695526E+03,  0.844986E+03, -0.291850E+04, -0.207352E+04,  0.104337E+01
           91,  0.454990E+02,  0.882216E+04,  0.295650E+03, -0.101613E+04,  0.815700E+03, -0.293707E+04, -0.212137E+04,  0.104781E+01
           92,  0.459990E+02,  0.864395E+04,  0.299221E+03,  0.197091E+04,  0.825552E+03, -0.296921E+04, -0.214366E+04,  0.106941E+01
           93,  0.464990E+02,  0.892932E+04,  0.290638E+03, -0.344201E+03,  0.801872E+03, -0.293771E+04, -0.213584E+04,  0.103523E+01
